region,location,street_address,num_of_rooms,size,fee,final_price,initial_price,year_built
Sundbyberg,Sundbybergcentrum,"Rosengatan 11, Vån 3",3,50 ,2951,3230000,2795000,1945
Stockholm,Vällingby,"Östersundsgatan 7, vån 15",1,47 ,2982,2200000,2200000,2015
Stockholm,Bandhagen,Kallforsvägen 19,3,76 ,4306,2985000,2595000,1952
Stockholm,Vasastan,Gästrikegatan 10,2,29 ,1148,3230000,2995000,1968
Stockholm,Katarina,"Hallandsgatan 32, 4 tr.",3,75 ,4247,7800000,6250000,1927
Stockholm,Hammarbyhöjden,Boråsvägen 4,3,68 ,4193,4550000,3495000,1939
Stockholm,Södermalm,"Götgatan 79, 5 tr",4,112 ,4820,8850000,8475000,1941
Stockholm,Gärdet,Rindögatan 40,1,25 ,1538,2890000,2890000,1938
Stockholm,Vällingby,Abiskovägen 20,1,26 ,1581,1700000,1495000,1954
Stockholm,Akalla,"Kotkagatan 27, 3tr",3,79 ,4574,2100000,1950000,1975
Nacka,Alphyddan,Alphyddevägen 29,3,75.5 ,3716,3550000,2995000,1975
Stockholm,Bromma,Pelle Svanslös Gata 1,3,81 ,4853,3720000,3395000,2012
Solna,Råsunda,Östervägen 25B,2,40 ,2498,2800000,2395000,1940
Solna,Huvudsta,"Jungfrudansen 18, 6 tr",1,36 ,1786,2620000,2295000,1970
Sundbyberg,Ursvik,Milstensvägen 33,2,55 ,3312,2220000,2295000,2013
Stockholm,Kungsholmen,Bergsgatan 51,2,37 ,1577,3530000,2995000,1963
Solna,Råsunda,"Rosstigen 9, 2 tr",2,48 ,3035,3060000,2795000,1944
Stockholm,Södermalm,"Bergsunds Strand 42, 2 tr",2.5,56 ,1834,4325000,3995000,1965
Solna,Frösunda,Signe Tillischgatan 11,2,46 ,2712,3010000,2495000,2006
Stockholm,Södermalm,"Östgötagatan 83, 2 tr",3,78 ,2937,6900000,6475000,1913
Stockholm,Enskede,Sofielundsvägen 14,2,54 ,2769,3000000,2695000,1943
Stockholm,Södermalm,"Rutger fuchsgatan 4, 2tr",1,23 ,1211,2650000,2195000,1929
Stockholm,StoraEssingen,Skogsmarksvägen 16,3,106 ,5570,7395000,7395000,1929
Solna,HagaNorra,Slottsvägen 2,2,46 ,2666,2935000,2495000,1999
Stockholm,Gröndal,Skonertvägen 9A,2,62 ,4038,2770000,2495000,1990
Nacka,Henriksdal,Henriksdalsringen 25,2,46 ,2300,2290000,1995000,1971
Stockholm,Bromma,"Söderberga Allé 58, 4 tr.",4,101 ,5804,2800000,2495000,1995
Sundbyberg,Sundbyberg,Brunnsgatan 2A,2,62 ,4383,2900000,2900000,1940
Stockholm,Södermalm,Kocksgatan 36,1,30 ,1863,3250000,2850000,1943
Stockholm,Kungsholmen,Runiusgatan 7,3,75 ,3437,4200000,3790000,1931
Stockholm,Vasastan,Karlbergsvägen 32B,3,61 ,2234,6525000,5495000,1889
Stockholm,Farsta,Kumminvägen 14,2,53 ,3812,2350000,1995000,1947
Stockholm,Östermalm,"Östhammarsgatan 64, 3tr",2,55 ,3499,4320000,3995000,1947
Sollentuna,Edsbacka,Platåvägen 24,3,81 ,5004,3000000,3000000,1986
Stockholm,Gamla Stan,"Skinnarviksringen 2, 1 tr",2,33 ,2364,3100000,2850000,1930
Solna,Skytteholm,"Nybodagatan 2, 3 tr",2,62.5 ,3110,2700000,2395000,1930
Solna,Råsunda,"Förrådsgatan 5, 3tr",1,40 ,2081,2720000,2195000,1938
Stockholm,Farsta,Larsbodavägen 72,1,40.5 ,2590,2090000,1795000,1957
Sollentuna,Kärrdal,Lomvägen 651,3,83 ,4034,2560000,2350000,1975
Stockholm,Vasastan,"Roslagsgatan 28, 2 tr",2,55 ,2039,4175000,3975000,1972
Stockholm,Bromma,"Kratsboda Backe 4, högst upp!",3,74 ,3306,3925000,3750000,1993
Stockholm,Gröndalstrand,Storsegelvägen 12,2,51 ,2763,3675000,3700000,2017
Solna,VästraSkogen,"Armégatan 36F, vån 7",4,102 ,5321,5250000,4995000,2016
Stockholm,Vällingby,"Jämtlandsgatan 99, Vån 8 (13084)",1,36 ,1905,2135000,1750000,2018
Stockholm,Vasastan,"Tegnérgatan 55 B, 6 tr",1,30 ,2089,3350000,2650000,1929
Nacka,Hedvigslund,Lillvägen 36,5,106 ,5919,3500000,2995000,1993
Stockholm,Kungsholmen,Warfvinges väg 18,4,88 ,4981,7150000,6700000,2015
Stockholm,Vasastan,"Birkagatan 21B, över gård",1,33 ,924,3425000,2850000,1905
Stockholm,Södermalm,"Pokalvägen 5, 5 tr",2,40 ,2436,3650000,3150000,1944
Stockholm,Gärdet,Östhammarsgatan 67,4.5,114 ,6063,9325000,8900000,1943
Stockholm,Fagersjö,"Skrakgränd 11, 3 tr",3,76 ,4061,2260000,2095000,1943
Stockholm,Vasastan,Atlasgatan 7,2,39 ,1960,3775000,3495000,1929
Stockholm,Södermalm,Kocksgatan 51,1,26 ,2137,2675000,2395000,1939
Stockholm,Norrmalm,Drottninggatan 73A,2,57 ,1014,5725000,5295000,1886
Stockholm,Vasastan,Gästrikegatan 22,2,67 ,2401,8300000,7700000,1897
Stockholm,Traneberg,Sulitelmavägen 23,3,79 ,4362,5900000,5900000,1938
Stockholm,Östermalm,Styrmansgatan 6,5,183 ,8940,29000000,29000000,1883
Stockholm,Kungsholmen,Pär Lagerkvists Gata 2,4,88 ,3975,6200000,5795000,2008
Nacka,Nacka,Skeppsmäklargatan 51,3,81 ,3728,4495000,4495000,2019
Stockholm,Årsta,"Glindragränd 12, 3/4tr",3,67 ,3978,3760000,3295000,2016
Sollentuna,Helenelund,Stupvägen 39,3,73 ,4464,2160000,1995000,1970
Nacka,FinnbodaHamn,Finnboda Kajväg 12C,3,78.5 ,4247,6150000,5995000,2017
Stockholm,Vasastan,Rådmansgatan 77A,2,39 ,1503,4100000,3325000,1876
Sundbyberg,CentralaSundbyberg,"Järnvägsgatan 58, 4tr",2,43 ,2701,2810000,2495000,1965
Stockholm,Liljeholmskajen,Vingårdsgatan 8,3,68.5 ,3379,5400000,5400000,2008
Stockholm,Högalid,"Flintbacken 18, 7 tr",2,60 ,2482,5050000,4490000,1964
Stockholm,Skärholmen,Ekholmsvägen 301,2,54 ,2883,2200000,2250000,2014
Stockholm,Högdalen,Skebokvarnsvägen 245,4,85 ,4276,2750000,2375000,1956
Stockholm,Riksby,"Synålsvägen 18, 2tr",2,60 ,3062,2950000,2495000,1943
Stockholm,Kista,Sorögatan 1 ,4,119 ,6341,2500000,2399000,1979
Stockholm,Bromma,"Karen Blixens Gata 7, vån 7",2,50 ,3088,2670000,2350000,2014
Stockholm,Södermalm,"Hästholmsvägen 17, 5tr",1.5,44 ,2839,3300000,2995000,1945
Stockholm,Årsta,Årstavägen 4,2,46 ,2677,2830000,2495000,2017
Stockholm,NorraDjurgårdsstaden,"Lövängsgatan 12, 4tr",2,55 ,3474,4170000,3995000,2016
Stockholm,Aspudden,"Torsten Alms gata 8, vån 3 av 3",1,40 ,2967,2450000,2095000,1948
Stockholm,Råcksta,Njurundagatan 6,1,30 ,1878,1640000,1495000,1959
Stockholm,Bromma,Björnsonsgatan 142,1,31 ,1632,2060000,1725000,1952
Stockholm,Akalla,"Mariehamnsgatan 24, 2tr",4,105 ,5822,2320000,2195000,1977
Stockholm,Johanneshov,Pelargatan 7,2,50 ,2442,2970000,2700000,1942
Stockholm,Katarina,"Gotlandsgatan 67, 5tr",1,43 ,2044,3465000,2995000,1926
Solna,Råsunda,Lövgatan 49,2,43 ,3258,2550000,2295000,1992
Stockholm,Årsta,Siljansvägen 33,2,45 ,3294,2700000,2800000,1945
Sundbyberg,Rissne,Rissneleden 165,3.5,82 ,4269,3095000,3095000,2018
Sundbyberg,Sundbyberg,"Tulegatan 72, 2 tr",2,40 ,2354,2500000,2190000,1942
Solna,Råsunda,Tottvägen 4 A,2,67 ,3172,4350000,3950000,1910
Stockholm,Kungsholmen,"Alströmergatan 51, 1,5tr",1,29 ,1307,2850000,2595000,1930
Stockholm,Aspudden,"Ivar Vidfamnes gata 2, vån 2 av 3",3,68 ,3790,4850000,3795000,1948
Solna,Järvastaden,Järva Skjutbaneväg 52,5,112 ,5327,5500000,5275000,2013
Stockholm,Fruängen,Agnes Lagerstedts gata 12,2,55 ,3008,2675000,2195000,1955
Stockholm,Skarpnäck,Skarpnäcks Allé 60,3,80.3 ,4642,2390000,2195000,1985
Stockholm,Rinkeby,Almbygatan 10,2,47 ,2742,2070000,2070000,2017
Stockholm,Kungsholmen,Essinge Brogata 22,1,24 ,1777,2200000,1795000,1939
Stockholm,Södermalm,"Bondegatan 74B, 5 tr",3.5,103 ,5176,10675000,8695000,1914
Solna,Hagastaden,"Olof Af Acrels Väg 5, 2 tr.",1,26 ,1858,2350000,1995000,1959
Stockholm,Kungsholmen,"Garvar Lundins Gränd 8, 1,5 tr",2.5,60.5 ,1488,5800000,4995000,1929
Stockholm,Södermalm,Götgatan 101,1,45 ,1920,3250000,2495000,1926
Stockholm,Stureby,Skönviksvägen 321,3,59 ,3495,3300000,2695000,1952
Stockholm,Gärdet,Sandhamnsgatan 55,3,72 ,3900,6000000,5750000,1966
Stockholm,Aspudden,Hövdingagatan 35,1.5,38 ,2242,2820000,2195000,1942
Stockholm,Vasastan,"Markvardsgatan 1, 2tr",2,57.3 ,628,5530000,4995000,1891
Stockholm,Farsta,"Värmlandsvägen 7A, 3 tr",2,45.5 ,2819,2400000,1995000,2011
Stockholm,Kungsholmen,"Atterbomsvägen 30, 2tr",1,25 ,1527,2580000,2250000,1937
Sollentuna,SollentunaCentrum,"Cirkusgränd 11, 5 tr",3,73 ,4472,3500000,3500000,2008
Stockholm,Kungsholmen,"Messeniusgatan 6, 3tr",1.5,32 ,2226,3050000,2595000,1936
Nacka,JärlaSjö,Winborgs Väg 21,1,36 ,2100,2550000,2550000,2017
Sundbyberg,LillaAlby,Hamngatan 31A,3,79 ,3864,4825000,4990000,2009
Stockholm,Hägerstensåsen,Bäckvägen 159,2,54 ,2365,3200000,3200000,2009
Solna,Råsunda,"Uppfartsvägen 9, 5 tr",1,38 ,1759,2800000,2395000,1944
Stockholm,Södermalm,"Anders Reimers Väg 6, 3+4 tr",3,69 ,3860,5750000,5750000,1943
Solna,Råsunda,"Solparksvägen 3, 2 tr",2,40 ,2330,3350000,2795000,1912
Stockholm,Stockholm,Älvsåkersgränd 27,3,83 ,5260,2200000,1995000,1968
Nacka,Orminge,"Ornövägen 34, 1 tr",2,61 ,3459,1870000,1695000,1970
Solna,VästraSkogen,"Johan Enbergs Väg 7, 4 tr",3,78 ,3645,4410000,3995000,1969
Solna,Frösunda,"Gustav III:s Boulevard 83, 5 vån",2,51 ,3474,3050000,2950000,2004
Nacka,Finntorp,Helgesons väg 8B,3.5,64 ,3663,4100000,3595000,2001
Nacka,Saltsjöbaden,Ljuskärrsvägen 32,2,63.3 ,3360,1865000,1695000,1972
Sundbyberg,LillaAlby,Franstorpsvägen 9,2,63.3 ,3840,3250000,2895000,1963
Stockholm,Västertorp,Skridskovägen 12,2,54 ,3044,2920000,2395000,1950
Stockholm,Katarina,"Grindsgatan 35, 2 tr",4,90 ,4174,7200000,6250000,1905
Solna,VästraSkogen,"Trubadurvägen 1, vån 3",2,47 ,2524,3125000,2695000,2016
Stockholm,Sköndal,"Mandelbrödsvägen 2, 3tr",3,71 ,4664,2510000,2245000,2016
Stockholm,Hammarbyhöjden,Wahlbergsgatan 7,3,53 ,3120,3475000,2895000,1937
Sollentuna,Häggvik,Klasrovägen 31,1,34.6 ,1853,1995000,1995000,2014
Stockholm,Årsta,Sköntorpsvägen 93,2,55 ,2947,2910000,2495000,1945
Nacka,JärlaSjö,Turbinvägen 8B,2,78 ,3500,4600000,4495000,1945
Stockholm,Vasastan,Vulcanusgatan 3,2,50 ,2954,4350000,4350000,1929
Stockholm,Högdalen,"Skebokvarnsvägen 251, 1tr",1,27 ,1513,1700000,1495000,1929
Stockholm,Kungsholmen,"Inedalsgatan 23, 2 tr",2,62 ,2458,5050000,4850000,1914
Solna,Solna,Kyrkbacken 14,1,18.5 ,1450,1750000,1780000,1973
Stockholm,Högdalen,Sjösavägen 71 1tr,3,70 ,4471,2680000,1995000,1954
Stockholm,Bromma,Ulvsundavägen 1,2,72 ,4389,3250000,3295000,2017
Stockholm,Södermalm,Krukmakarbacken 4B 4tr,3,81 ,2835,6210000,5495000,1987
Stockholm,Södermalm,"Verkstadsgatan 11, 2 tr",3,84 ,4456,7000000,6495000,1931
Nacka,Nacka,"Ängsbacken 1, 3 tr",3.5,80 ,6219,2450000,2295000,1931
Stockholm,Årsta,"Sandfjärdsgatan 120, 12+13 tr",5,105.5 ,5820,4300000,4395000,1931
Stockholm,Södermalm,Högbergsgatan 24,2,45 ,2802,4410000,3995000,1930
Stockholm,Örby,Gamla huddingevägen 446,3,70 ,3105,3005000,2495000,1957
Nacka,Nacka,"Ornövägen 28, 2 tr",3,61 ,3667,2015000,1695000,1957
Stockholm,Odenplan,Vegagatan 3,3,90 ,3443,8650000,7950000,1884
Stockholm,Östermalm,"Kommendörsgatan 26, 6tr",2,50 ,1895,6000000,5495000,1966
Nacka,VästraOrminge,"Skarpövägen 57, 4 tr",3,81 ,5530,2100000,2100000,1969
Stockholm,Gärdet,"Sehlstedtsgatan 7, 3tr",2,43 ,2150,3550000,3450000,2014
Stockholm,Kungsholmen,"Scheelegatan 11, 2 tr",2,61 ,2065,5710000,4695000,1886
Stockholm,HammarbySjöstad,Korphoppsgatan 22,2,45 ,3316,2930000,2995000,2003
Stockholm,Vasastan,"Dannemoragatan 14, 1,5tr.",1,32 ,1689,3350000,2850000,1923
Stockholm,Högalid,Rosenlundsgatan 32B,2,50 ,3057,4950000,3995000,2015
Stockholm,Högalid,Långholmsgatan 5,3,72 ,3296,6900000,5950000,1913
Stockholm,Hornstull,"Bergsunds Strand 42, 3 tr",2,55 ,1801,4550000,4150000,1965
Stockholm,NorraDjurgårdsstaden,"Bobergsgatan 75, 5 tr ",4,102.8 ,2881,10500000,10500000,2018
Stockholm,Östermalm,"Erik Dahlbergsgatan 41- 43, 5 tr. ",2,44 ,2434,3760000,3495000,1941
Stockholm,Mariaberget,"Tavastgatan 5, 4tr",2,50 ,3201,5670000,4450000,1939
Stockholm,Hökarängen,Pepparvägen 45,2,47 ,3438,2410000,1995000,2011
Stockholm,Kungsholmen,"Alströmergatan 9, 4 tr",1,28 ,1850,2780000,2250000,1952
Stockholm,Kungsholmen,Strålgatan 19,1.5,32 ,1984,2770000,2395000,1938
Stockholm,Midsommarkransen,Lötmogatan 7,2,37 ,3145,2710000,1995000,1940
Stockholm,Kungsholmen,Essinge Brogata 10 ,3,69 ,3717,6200000,5950000,1938
Stockholm,Vasastan,"Döbelnsgatan 55, 6tr Vindsvåning",2,65 ,3084,6750000,6250000,1909
Sundbyberg,Hallonbergen,Lötsjövägen 53,3,82.1 ,3693,2650000,2295000,1970
Sundbyberg,Ursvik,Stallgatan 19,3,78 ,3799,3400000,2995000,2016
Sundbyberg,Sundbyberg,Brännarvägen 3,2,47 ,2733,2300000,2300000,2018
Stockholm,Vasastan,"Kammakargatan 21, 2tr",2,39 ,2428,3700000,3395000,1944
Stockholm,Vasastan,"Karlbergsvägen 83B, 4 tr",2,48 ,2046,4330000,4095000,1982
Stockholm,Sätra,Kungssätravägen 8,2,57 ,3904,2300000,1995000,1965
Stockholm,Stockholm,Fogdevägen 39,2,48 ,3301,2330000,1995000,2009
Stockholm,Bromma,Drachmannsgatan 4,3,74 ,4117,4250000,3790000,2012
Stockholm,Stockholm,Fridhemsgatan 60,3,65 ,2680,5600000,4995000,1943
Stockholm,Kungsholmen,"John Ericssonsgatan 18, 5 tr",3,64 ,3178,6460000,5745000,1935
Stockholm,Vasastan,"Valentin Sabbats Gata 1, 6tr",2,43.5 ,2217,4525000,3795000,2009
Solna,HagaNorra,"Andersvägen 3A, Vån 1",4,96.8 ,4636,4650000,4750000,1993
Stockholm,Bromma,Tummelisas Gata 3,3,80 ,4740,3500000,3395000,2015
Stockholm,HammarbySjöstad,"Hammarby Allé 7, 10 tr",3,83 ,4469,6500000,6500000,2016
Sundbyberg,CentralaSundbyberg,Starrbäcksgatan 11C,2,54 ,3117,2825000,2495000,1989
Nacka,Sickla,Atlasvägen 35,1,25 ,1627,2000000,1995000,1958
Stockholm,Södermalm,"Hallandsgatan 48, 2tr",2,47 ,2696,4450000,3895000,1928
Stockholm,Södermalm,"Klippgatan 14B, 1 tr",2,47 ,2551,3850000,3495000,1930
Stockholm,Årsta,Borensvägen 40,2,40 ,2957,2500000,2175000,1945
Stockholm,Årsta,Åmänningevägen 21,3,71 ,5089,3700000,2995000,2004
Stockholm,Hägerstensåsen,Valutavägen 25,1,20 ,1659,2000000,1595000,1947
Stockholm,Fruängen,"Ada Nilssons gata 13, 6 tr",2,43 ,2307,2650000,2390000,2007
Stockholm,Stockholm,Svartviksvägen 4A,1,26 ,1578,2050000,1695000,1938
Stockholm,Södermalm,Sågargatan 17,1,22 ,1673,2580000,2095000,1938
Stockholm,Årsta,Sandfjärdsgatan 33,1,27 ,2081,2180000,1750000,1962
Stockholm,Östermalm,Gumshornsgatan 7,1,28.5 ,1489,3300000,2795000,1931
Stockholm,Bagarmossen,Rusthållarvägen 127,2,53 ,3907,2687000,2295000,1953
Stockholm,Bromma,"Alpvägen 8, 1 tr",3,62 ,4397,3000000,2695000,2002
Stockholm,Södermalm,"Kocksgatan 40, 3 tr",2,34 ,2118,3340000,2750000,1939
Stockholm,Stockholm,"Pilotgatan 5C, 2tr",1,50 ,3568,2000000,1495000,1985
Stockholm,Hammarbyhöjden,"Malmövägen 24, 2tr",2,58 ,3253,3500000,2950000,1949
Stockholm,Bromma,Tummelisas gata 3,1.5,36 ,2784,2300000,1995000,2015
Stockholm,Gärdet,Sandhamnsgatan 13,1.5,28 ,2355,2600000,2495000,1943
Stockholm,Hammarbyhöjden,"Skarabacken 47, 2 tr",3,66 ,4644,3620000,3395000,1942
Stockholm,Hässelby,"Melongatan 14, 4 tr",2,53 ,3167,2220000,1995000,2011
Stockholm,Traneberg,Minnebergsvägen 27,2,51 ,2973,3125000,2895000,1939
Stockholm,Kristineberg,"Love Almqvists Väg 4B, 4 tr",2,38 ,3042,3250000,2495000,1934
Stockholm,Bromma,Spångavägen 32,2,56 ,3870,2650000,2095000,1940
Stockholm,Sundby,Gamla bromstensvägen 123A,4,97 ,5067,4270000,3975000,2006
Stockholm,Farsta,Ågesta Broväg 40,3,82 ,5157,2900000,2800000,2009
Stockholm,Årsta,Slätbaksvägen 46,2,42.5 ,2641,2460000,2175000,1943
Stockholm,Södermalm,"Kattgränd 6, 2 tr",2,45 ,2138,4540000,3995000,1945
Stockholm,Aspudden,Husabyvägen 12,1,29 ,1636,2375000,1895000,1944
Solna,Råsunda,"Gränsgatan 22, vån 3",3,55 ,3015,3695000,3695000,2019
Stockholm,Mariatorget,Krukmakargatan 5,3,77 ,2882,7350000,6795000,1916
Solna,Järvastaden,"Honnörsgatan 3, 3 tr",4,89 ,5221,4700000,4395000,1916
Stockholm,Årsta,"Årstavägen 66, 5 tr",3,73 ,3863,4080000,3695000,1946
Stockholm,Kungsholmen,Sankt Eriksgatan 8,2,55 ,3553,3520000,3495000,1925
Sollentuna,Edsängen,"Frestavägen 32, 1 tr",3,54 ,2809,2350000,1995000,2011
Solna,VästraSkogen,"Arvid Tydéns Allé 20, 3tr",3,56 ,2899,3600000,3195000,2017
Stockholm,Södermalm,Erstagatan 22,2,35.2 ,2117,3540000,2995000,1939
Stockholm,Östermalm,Brantingsgatan 50,2,52 ,2965,4470000,3575000,1937
Nacka,Skogalundsklippan,Skogalundsklippan 21,3.5,69 ,4403,2770000,2595000,1984
Stockholm,Vasastan,"Birger Jarlsgatan 110, 2 tr",2,35 ,987,3900000,3295000,1905
Sollentuna,Sollentuna,Stupvägen 37,3,73 ,4134,2300000,2295000,1970
Sundbyberg,CentralaSundbyberg,Gjuteribacken 16C,3,60 ,3273,3325000,2895000,1947
Stockholm,Vasastan,Rådmansgatan 75,1.5,36 ,1534,3550000,3150000,1971
Stockholm,Minneberg,Svartviksslingan 112,3,67.5 ,3458,3520000,3495000,1985
Stockholm,Bagarmossen,Ätravägen 22,1,32 ,2350,2110000,1695000,2016
Stockholm,HornsbergsStrand,"Pär Lagerkvists Gata 30, 7tr",3,74 ,3648,6150000,5995000,2012
Solna,Solna,Infanterigatan 6,3,75.5 ,3768,3500000,3500000,1962
Nacka,Strandparksområdet,"Oxelvägen 55, 4 tr",4,91 ,5795,2250000,2295000,1967
Stockholm,Telefonplan,"Hökmossevägen 27, 2tr",2,43.7 ,2800,2610000,1995000,1967
Stockholm,Kungsholmen,Sankt Göransgatan 102,2,45 ,2518,3300000,2995000,1992
Stockholm,Kungsholmen,Sankt Eriksgatan 52,3,72 ,3136,6650000,5950000,1926
Stockholm,Hornstull,"Lundagatan 46, 2 tr",2,36 ,1880,3530000,2995000,1926
Stockholm,Gärdet,Brantingsgatan 22,1.5,36 ,2114,2800000,2695000,1939
Solna,Solna,"Lövgatan 55, vån 3 av 7",2,43 ,2401,2950000,2950000,2019
Stockholm,Örby,Gamla huddingevägen 419,3,81 ,3463,3630000,2995000,1959
Stockholm,Östermalm,"Sibyllegatan 83, 3tr",2,72 ,2081,6850000,6495000,1889
Stockholm,Hägerstensåsen,"Arvodesvägen 19, 2tr",2,52 ,3437,2800000,2495000,1942
Stockholm,Södermalm,"Katarina Bangata 55, 2tr",1,32 ,2022,3100000,2795000,1929
Stockholm,Östermalm,"Rindögatan 19, 3 tr",2,34 ,1936,3575000,2995000,1939
Stockholm,Södermalm,"Ringvägen 66, 2tr",2,58.5 ,3715,4240000,3995000,2002
Stockholm,Mariehäll,Askängsbacken 20,5,106 ,6285,6300000,6100000,2013
Stockholm,Katarina,"Hökens gata 7, 3 tr",2,65 ,3466,6725000,5450000,1904
